"","State","Solar","Voting"
"1","Alabama","0","R"
"2","Alaska","","R"
"3","Arizona","13,759","R"
"4","Arkansas","0","R"
"5","California","611,763","D"
"6","Colorado","16,530","D"
"7","Connecticut","0","D"
"8","Delaware","0","D"
"9","District of Columbia","0","D"
"10","Florida","10,225","R"
"11","Georgia","0","R"
"12","Hawaii","25","D"
"13","Idaho","0","R"
"14","Illinois","0","D"
"15","Indiana","0","R"
"16","Iowa","0","R"
"17","Kansas","0","R"
"18","Kentucky","0","R"
"19","Louisiana","0","R"
"20","Maine","0","D"
"21","Maryland","0","D"
"22","Massachusetts","67","D"
"23","Michigan","0","R"
"24","Minnesota","0","D"
"25","Mississippi","0","R"
"26","Missouri","0","R"
"27","Montana","0","R"
"28","Nebraska","0","R"
"29","Nevada","150,858","D"
"30","New Hampshire","0","D"
"31","New Jersey","2,438","D"
"32","New Mexico","0","D"
"33","New York","0","D"
"34","North Carolina","2,322","R"
"35","North Dakota","0","R"
"36","Ohio","0","R"
"37","Oklahoma","0","R"
"38","Oregon","0","D"
"39","Pennsylvania","0","R"
"40","Rhode Island","0","D"
"41","South Carolina","0","R"
"42","South Dakota","0","R"
"43","Tennessee","0","R"
"44","Texas","0","R"
"45","Utah","0","R"
"46","Vermont","0","D"
"47","Virginia","0","D"
"48","Washington","0","D"
"49","West Virginia","0","R"
"50","Wisconsin","0","R"
"51","Wyoming","0","R"
